file,url,previous_state,decision,reason,related_page,export_clicks,export_impressions,export_average_position
services.new-zealand.classification.tsx,/services/new-zealand/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.ivd.tsx,/services/new-zealand/ivd,noindex,indexable,"Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.labeling.tsx,/services/new-zealand/labeling,noindex,indexable,"Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.medsafe-queries.tsx,/services/new-zealand/medsafe-queries,noindex,indexable,Dedicated service intent covering Medsafe safety inquiries and evidence responses. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.new-zealand.post-market.tsx,/services/new-zealand/post-market,noindex,indexable,"Dedicated service intent covering complaint assessment, reporting and field-action responsibilities. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.qms-compliance.tsx,/services/new-zealand/qms-compliance,noindex,indexable,Dedicated service intent covering New Zealand sponsor records and operational controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.new-zealand.software.tsx,/services/new-zealand/software,noindex,indexable,"Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.sponsor.tsx,/services/new-zealand/sponsor,noindex,indexable,Dedicated service intent covering New Zealand sponsor responsibilities and WAND governance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.new-zealand.supply-chain.tsx,/services/new-zealand/supply-chain,noindex,indexable,"Dedicated service intent covering importer/distributor responsibilities, traceability and complaint routing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.technical-documentation.tsx,/services/new-zealand/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.new-zealand.testing-strategy.tsx,/services/new-zealand/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.new-zealand.wand-notification.tsx,/services/new-zealand/wand-notification,noindex,indexable,"Dedicated service intent covering WAND notification, data accuracy and limits of notification. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.authorized-representative.tsx,/services/saudi-arabia/authorized-representative,noindex,indexable,Dedicated service intent covering Saudi representation and ongoing regulatory governance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.saudi-arabia.change-management.tsx,/services/saudi-arabia/change-management,noindex,indexable,"Dedicated service intent covering change triggers, regulatory impact and lifecycle record updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.classification.tsx,/services/saudi-arabia/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.establishment-licensing.tsx,/services/saudi-arabia/establishment-licensing,noindex,indexable,Dedicated service intent covering Saudi establishment activities distinct from product authorisation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.saudi-arabia.inspection.tsx,/services/saudi-arabia/inspection,noindex,indexable,Dedicated service intent covering inspection preparation using operating records and corrective actions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.saudi-arabia.ivd.tsx,/services/saudi-arabia/ivd,noindex,indexable,"Dedicated service intent covering diagnostic intended use, performance evidence and the local IVD pathway. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.labeling.tsx,/services/saudi-arabia/labeling,noindex,indexable,"Dedicated service intent covering local labelling, identifiers and consistency with the authorised device. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.mdma.tsx,/services/saudi-arabia/mdma,noindex,indexable,Dedicated service intent covering Saudi device authorisation and its technical evidence package. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.saudi-arabia.post-market.tsx,/services/saudi-arabia/post-market,noindex,indexable,"Dedicated service intent covering complaint assessment, reporting and field-action responsibilities. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.sfda-queries.tsx,/services/saudi-arabia/sfda-queries,noindex,indexable,Dedicated service intent covering SFDA deficiency diagnosis and evidence-based responses. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.saudi-arabia.software.tsx,/services/saudi-arabia/software,noindex,indexable,"Dedicated service intent covering medical software qualification, lifecycle evidence and change controls. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.saudi-arabia.technical-documentation.tsx,/services/saudi-arabia/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.saudi-arabia.testing-strategy.tsx,/services/saudi-arabia/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.technical-documentation.tsx,/services/technical-documentation,noindex,indexable,Dedicated service intent covering technical dossier scope and traceable supporting evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.uae.change-management.tsx,/services/uae/change-management,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the change management guidance and authority references before indexing.,/services/uae,,,
services.uae.classification.tsx,/services/uae/classification,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the classification guidance and authority references before indexing.,/services/uae,,,
services.uae.ecas.tsx,/services/uae/ecas,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the ecas guidance and authority references before indexing.,/services/uae,,,
services.uae.ivd.tsx,/services/uae/ivd,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the ivd guidance and authority references before indexing.,/services/uae,,,
services.uae.labeling.tsx,/services/uae/labeling,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the labeling guidance and authority references before indexing.,/services/uae,,,
services.uae.local-applicant.tsx,/services/uae/local-applicant,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the local applicant guidance and authority references before indexing.,/services/uae,,,
services.uae.mohap-queries.tsx,/services/uae/mohap-queries,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the mohap queries guidance and authority references before indexing.,/services/uae,,,
services.uae.mohap-registration.tsx,/services/uae/mohap-registration,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the mohap registration guidance and authority references before indexing.,/services/uae,,,
services.uae.post-market.tsx,/services/uae/post-market,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the post market guidance and authority references before indexing.,/services/uae,,,
services.uae.qms-inspection.tsx,/services/uae/qms-inspection,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the qms inspection guidance and authority references before indexing.,/services/uae,,,
services.uae.software.tsx,/services/uae/software,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the software guidance and authority references before indexing.,/services/uae,,,
services.uae.supply-chain.tsx,/services/uae/supply-chain,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the supply chain guidance and authority references before indexing.,/services/uae,,,
services.uae.technical-documentation.tsx,/services/uae/technical-documentation,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the technical documentation guidance and authority references before indexing.,/services/uae,,,
services.uae.testing-strategy.tsx,/services/uae/testing-strategy,noindex,retain noindex,Still describes MOHAP as the current medical-device submission/regulatory interface. EDE now operates relevant services; update the testing strategy guidance and authority references before indexing.,/services/uae,,,
services.uk.audit-readiness.tsx,/services/uk/audit-readiness,noindex,indexable,Dedicated service intent covering UK Approved Body assessment and findings preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,17,77.12
services.uk.conformity-assurance.tsx,/services/uk/conformity-assurance,noindex,indexable,Dedicated service intent covering CE recognition versus UKCA pathway planning. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,1,80.0
services.uk.dors-registration.tsx,/services/uk/dors-registration,noindex,retain noindex,Brief DORS pointer duplicates the purpose of the full MHRA registration service.,/services/uk/mhra-registration,0,25,71.48
services.uk.labeling.tsx,/services/uk/labeling,noindex,retain noindex,Five broad artwork bullets and a pointer to technical-file review; needs route-specific labelling detail and examples.,/services/uk/technical-file,0,85,56.42
services.uk.mhra-liaison.tsx,/services/uk/mhra-liaison,noindex,retain noindex,Brief liaison pointer directs users to full UKRP representation; no independent service explanation.,/services/uk/ukrp,,,
services.uk.mhra-registration.tsx,/services/uk/mhra-registration,noindex,indexable,"Dedicated service intent covering MHRA device registration, data consistency and maintenance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.uk.pms.tsx,/services/uk/pms,noindex,indexable,"Dedicated service intent covering post-market evidence, complaints, reporting and periodic updates. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,0,30,81.87
services.uk.qms.tsx,/services/uk/qms,noindex,retain noindex,Short ISO/QMS list and a link to audit readiness; needs implementation process and distinct deliverables.,/services/uk/audit-readiness,0,2,84.5
services.uk.regulatory-writing.tsx,/services/uk/regulatory-writing,noindex,retain noindex,Short list of documents and a technical-file pointer; needs a distinct authoring process and scope.,/services/uk/technical-file,0,12,71.33
services.uk.technical-file.tsx,/services/uk/technical-file,noindex,indexable,Dedicated service intent covering technical file scope and evidence-gap assessment. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.uk.vigilance.tsx,/services/uk/vigilance,noindex,indexable,Dedicated service intent covering UK incident reporting and field safety corrective actions. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,20,78.2
services.usa.513g.tsx,/services/usa/513g,noindex,retain noindex,"Generic template does not explain the 513(g) request, inputs or limitations.",/services/usa/classification,,,
services.usa.classification.tsx,/services/usa/classification,noindex,indexable,"Dedicated service intent covering qualification, risk-class reasoning and its effect on the submission route. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.usa.de-novo.tsx,/services/usa/de-novo,noindex,indexable,Dedicated service intent covering novel-device route selection and De Novo evidence planning. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.usa.deficiency-response.tsx,/services/usa/deficiency-response,noindex,indexable,"Dedicated service intent covering reviewer-question analysis, evidence remediation and response matrices. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.usa.e-star.tsx,/services/usa/e-star,noindex,indexable,Dedicated service intent covering eSTAR compilation and cross-section dossier consistency. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,318,72.77
services.usa.establishment-registration.tsx,/services/usa/establishment-registration,noindex,indexable,Dedicated service intent covering FDA establishment registration and listing rather than premarket authorisation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.usa.global-market-access.tsx,/services/usa/global-market-access,noindex,indexable,Dedicated service intent covering multi-market evidence reuse and sequencing. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.usa.pma.tsx,/services/usa/pma,noindex,retain noindex,Shares approximately 78% of shorter-page eight-word sequences with De Novo and repeats Class I/II De Novo eligibility on the PMA page; needs a dedicated PMA rewrite.,/services/usa/de-novo,,,
services.usa.post-clearance-lifecycle.tsx,/services/usa/post-clearance-lifecycle,noindex,indexable,Dedicated service intent covering FDA change assessment after clearance. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.usa.predicate-strategy.tsx,/services/usa/predicate-strategy,noindex,indexable,Dedicated service intent covering FDA predicate suitability and substantial-equivalence evidence. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.usa.q-submission.tsx,/services/usa/q-submission,noindex,indexable,Dedicated service intent covering focused FDA Pre-Submission questions and briefing preparation. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,0,36,74.53
services.usa.qmsr-inspection.tsx,/services/usa/qmsr-inspection,noindex,indexable,Dedicated service intent covering FDA inspection readiness and linked QMS records. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.,,,,
services.usa.rfd-pre-rfd.tsx,/services/usa/rfd-pre-rfd,noindex,retain noindex,Generic template lacks RFD versus Pre-RFD jurisdiction detail.,/services/usa/classification,,,
services.usa.testing-strategy.tsx,/services/usa/testing-strategy,noindex,indexable,"Dedicated service intent covering test planning, configurations and regulatory usability of reports. The body provides relevant scope or deliverables; country-hub summaries and shared layout do not by themselves justify exclusion.",,,,
services.usa.udi-gudid.tsx,/services/usa/udi-gudid,noindex,retain noindex,"Generic template lacks UDI applicability, identifiers or GUDID workflow.",/services/usa,,,
